"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2015","E","Estimate","","37804.881848"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2016","E","Estimate","","35136.194796"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2017","","","","33602.751793"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2018","E","Estimate","","30677.132411"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2019","E","Estimate","","29964.528"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2020","E","Estimate","","22580.153"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","23212.831288"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2022","E","Estimate","","24132.744975"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2023","E","Estimate","","29557.092643"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2024","E","Estimate","","31837.995117"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","2015","","","","6170.102977"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","2016","","","","6112.65733"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","2017","","","","5962.265981"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","2018","E","Estimate","","5350.055653"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","2019","E","Estimate","","5738.59"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","2020","E","Estimate","","5283.175"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","5736.033408"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","2022","E","Estimate","","6606.248464"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","2023","E","Estimate","","6816.538362"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","2024","E","Estimate","","7153.623703"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","A","Annual","A","Annual","USM","Million US dollar","2015","","","","2076.077031"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","A","Annual","A","Annual","USM","Million US dollar","2016","","","","2119.034653"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","A","Annual","A","Annual","USM","Million US dollar","2017","","","","2022.243942"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","A","Annual","A","Annual","USM","Million US dollar","2018","E","Estimate","","1758.838796"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","A","Annual","A","Annual","USM","Million US dollar","2019","E","Estimate","","1892.375"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","A","Annual","A","Annual","USM","Million US dollar","2020","E","Estimate","","1784.688"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","1904.260284"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","A","Annual","A","Annual","USM","Million US dollar","2022","E","Estimate","","1583.860153"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","A","Annual","A","Annual","USM","Million US dollar","2023","E","Estimate","","1845.919656"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","A","Annual","A","Annual","USM","Million US dollar","2024","E","Estimate","","1893.605006"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","A","Annual","A","Annual","USM","Million US dollar","2015","","","","423.809143"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","A","Annual","A","Annual","USM","Million US dollar","2016","","","","468.743222"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","A","Annual","A","Annual","USM","Million US dollar","2017","","","","512.147427"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","A","Annual","A","Annual","USM","Million US dollar","2018","E","Estimate","","752.524182"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","A","Annual","A","Annual","USM","Million US dollar","2019","E","Estimate","","885.152"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","A","Annual","A","Annual","USM","Million US dollar","2020","E","Estimate","","659.518"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","761.109627"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","A","Annual","A","Annual","USM","Million US dollar","2022","E","Estimate","","712.930509"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","A","Annual","A","Annual","USM","Million US dollar","2023","E","Estimate","","938.159427"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","A","Annual","A","Annual","USM","Million US dollar","2024","E","Estimate","","879.954002"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","A","Annual","A","Annual","USM","Million US dollar","2015","","","","4321.006411"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","A","Annual","A","Annual","USM","Million US dollar","2016","","","","3851.820906"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","A","Annual","A","Annual","USM","Million US dollar","2017","","","","3718.181979"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","A","Annual","A","Annual","USM","Million US dollar","2018","E","Estimate","","2282.707876"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","A","Annual","A","Annual","USM","Million US dollar","2019","E","Estimate","","2769.52"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","A","Annual","A","Annual","USM","Million US dollar","2020","E","Estimate","","1770.112"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","1434.995685"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","A","Annual","A","Annual","USM","Million US dollar","2022","E","Estimate","","1856.567925"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","A","Annual","A","Annual","USM","Million US dollar","2023","E","Estimate","","1588.680031"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","A","Annual","A","Annual","USM","Million US dollar","2024","E","Estimate","","1736.566708"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","A","Annual","A","Annual","USM","Million US dollar","2015","","","","19508.013064"
