actual_2024,product,best_model,ARIMA_pred,ARIMA_smape,Prophet_pred,Prophet_smape,Share x Demand_pred,Share x Demand_smape,Naive Last_pred,Naive Last_smape,Naive Drift_pred,Naive Drift_smape
1.0819999999999999,010600,Share x Demand,78.11783599853516,,89.83671985162022,,1.822825588628765,51.006545214198205,28.042999999999996,185.1399141630901,29.660588235294114,185.92180994366888
108.75,020230,ARIMA,174.71180725097656,46.540172653717754,222.06076103413147,68.50488217488223,461.65961273025994,,257.837,81.33785431561948,270.9624285714286,85.43962028407212
171.154,020741,Share x Demand,3007.736328125,,2583.8145350202203,175.14977063086582,221.29285260654322,25.551919845213337,2645.538,175.69432511612914,2808.2913125,177.0220316806033
6645.282,030199,Share x Demand,126776.5078125,,126776.51,,12345.449332088036,60.031046013026824,25355.302,116.93549092729059,26846.54694117647,120.63399091555769
7.091,030223,Naive Last,3.6668660640716553,,2.6450491573495634,,0.8174445582778714,,4.006,55.60061277822834,3.9245,57.491716218056375
26.67,030239,Naive Last,282.26983642578125,,1549.872159199745,,307.48137445360027,,35.696,28.945258634512385,37.213842105263154,33.00941758602989
444.083,030269,Prophet,546.7991333007812,,449.24678468693463,1.1560757909228878,579.6021536041108,,487.966,9.416457718424672,479.77135714285714,7.7259704123122
131.843,030349,Naive Last,2384.3896484375,,2125.6531838896553,,368.07606275415094,,286.523,73.94482343211448,306.918,79.80426701552783
52.835,030379,Naive Drift,88.87332153320312,,221.08868350322695,,261.14778180033824,,52.487,0.6608305956970034,52.50071428571429,0.6347053638028044
2549.916,030420,Naive Drift,10018.6474609375,,19423.829432419374,,794.8709210283143,,1641.32,43.356947687985134,1725.6644210526315,38.556242557797155
415.942,030613,Naive Drift,797.1996459960938,,1471.1235396735865,,824.0448818014478,,606.257,37.23638939188943,501.24207142857136,18.600425821986025
461.55899999999997,030621,ARIMA,569.3966674804688,20.919942705977075,640.5737298367948,32.4851490189033,734.0372561558214,,650.747,34.01725784091788,667.9217857142856,36.54117685300534
2.589,030622,Share x Demand,3.8968255519866943,40.32873044468764,3.637158717371342,33.669514863054125,1.8879953962317588,31.31585099945689,4.361000000000001,50.9928057553957,4.491307692307693,53.735170136021914
4.024,030751,Naive Last,8.087173461914062,,35.73901912999635,,513.5377283713278,,2.5340000000000003,45.44068313510216,0.0,200.0
2.902,030759,Naive Last,37.54176330566406,,,,224.5557365022653,,0.071,190.44735956945843,0.0,200.0
1294.145,030760,Share x Demand,897.5961303710938,36.18573965090163,2571.3838636080773,,1254.1791796138823,3.1366354960516234,768.798,50.93179986068446,794.5054285714285,47.84329293153276
12.509,040110,Naive Drift,15.362364768981934,,18.858149232111725,,11.17813487791215,,10.972,13.091435628806275,11.752357142857143,6.237432248225428
25.954,040120,Prophet,22.234947204589844,15.435293822131598,29.225407271577673,11.857348359965945,198.88401528645062,,0.019,199.70738844184348,0.0,200.0
6.136,040130,Naive Last,139.5828399658203,,45.48252497034092,,9.940171750674617,,9.399000000000001,42.008368200836834,10.019000000000002,48.071804394924186
15.018,040210,ARIMA,313.35626220703125,181.70623982639472,470.8176458241707,187.63532472013372,401.94860564871914,185.59309086478532,1154.32,194.86273429923597,1114.70075,194.6825703300047
106.18400000000001,040221,Share x Demand,1433.9771728515625,,3781.0483354136845,,104.24807024671414,1.8399569523943373,96.488,9.56816925870373,100.1535,5.845277760949917
104.026,040229,ARIMA,119.31604766845703,13.692045746042897,38.84649820923776,91.24149519007696,5.258570605859125,,25.995,120.02830312026518,0.0,200.0
41.741,040299,Prophet,35.0499382019043,17.4266963127943,44.14476600517983,5.597588790288858,1.3333105925199307,,4.659,159.83620689655174,4.87878947368421,158.1397554234931
18.872,040310,Naive Drift,703.906005859375,,1234.0325322365334,,3772.5698647753975,,7.816999999999999,82.84311888793135,8.056454545454544,80.32800721102721
7.87,040390,Prophet,52.050907135009766,,11.441441070912246,36.98782558792787,19.104804704158617,,1.232,145.85805317512634,0.4702857142857143,177.4451029426878
0.05,040410,Naive Drift,11.700531959533691,,,,3.4914313248979685,,1.428,186.46820027063598,0.04469230769230759,11.210398050365797
3.289,040500,Naive Last,110.78352355957031,,88.84327141228145,,42.67804385590837,,2.476,28.20468343451865,0.0,200.0
5.836,040610,Naive Last,32.63869094848633,,,,15.589357264841373,,11.318999999999999,63.923054503060314,0.0,200.0
0.023,040690,Naive Drift,49.14629364013672,,139.0600659968209,,25.366934042663498,,0.185,155.76923076923077,0.023538461538461508,2.3140495867767323
5.930000000000001,040700,Share x Demand,30.71901512145996,,35.81481684930009,,6.186295446929104,4.230590910426532,2.008,98.81582262534644,0.0,200.0
21.16,040900,Prophet,12.836628913879395,48.9658613341073,15.74789108008915,29.327651954790458,8.636341372753773,84.06172066949166,4.43,130.75420085971083,4.513761904761904,129.67509909134583
0.362,060299,Naive Last,45.286808013916016,,,,9.62960475407977,,8.288,183.2601156069364,8.858538461538462,184.2959279868521
0.013000000000000001,060499,Share x Demand,2.8998889923095703,,,,0.49639808885178366,189.79187375492293,0.906,194.341675734494,0.717923076923077,192.88570827194275
227.37900000000002,070110,ARIMA,173.65127563476562,26.794846987645588,,,0.9817015388858604,,120.002,61.82088254682899,123.68046153846153,59.07747821813225
49.246,070190,Naive Last,805.83837890625,,931.3413855413392,,680.9831149070465,,219.112,126.59656130989198,225.7295,128.3630723464454
48.433,070200,ARIMA,25.591243743896484,61.714257656261125,135.8242195764238,,97.54934022774546,,1.864,185.17605423782732,1.5172,187.8502988977021
441.264,070310,ARIMA,520.0487670898438,16.391078905223893,10038.903088506364,,7838.957380351459,,175.65700000000004,86.10729736870684,180.0209230769231,84.09767152541431
42.294000000000004,070320,Prophet,3.675328254699707,168.01929987459448,8.0151146171388,136.27306162602758,3.478914328666172,169.59848958983645,0.013,199.87708889781834,0.0,200.0
0.041,070390,Naive Last,5.756561279296875,,6.87441793320976,,5.30131147602143,,0.078,62.18487394957983,0.0,200.0
13.174,070410,Naive Drift,3.1500306129455566,,2.8999792105364555,,1.9455438420320263,,4.6129999999999995,96.26131444313263,4.801285714285714,93.15806623379719
1.4,070490,Share x Demand,5.747686386108398,,7.749659040738585,,1.910283761950036,30.830212673335044,0.8410000000000001,49.88844265952698,0.855952380952381,48.232189973614766
2.363,070511,ARIMA,1.9226073026657104,20.552172246876605,1.890048880823598,22.24056823371452,4.0543864412710215,52.71262551351129,0.29300000000000004,155.87349397590359,0.310875,153.49446028703665
0.584,070519,Share x Demand,2.537165403366089,125.15616130177882,2.4841796418171738,123.86364969762754,2.266207040123436,118.04104168170066,3.8280000000000003,147.05349048050772,4.0804285714285715,149.9188386266883
108.37500000000001,070610,ARIMA,105.66224670410156,2.534842264765937,60.440300424198504,,73.74158134167415,38.03433866721791,66.225,48.281786941580776,69.65021052631579,43.504837724047974
