model,n,MAE,RMSE,MAPE_pct,sMAPE_pct,median_sMAPE_pct
Naive Last,1299,8017.399293302537,132992.18346479628,15058.415594704513,106.29896664890192,106.39756473044137
Naive Drift,1299,8826.180856319623,150362.17149792073,14678.348761169005,121.22233056102985,130.97586253620983
Prophet,1056,31955.945453836885,390314.72707521927,85850.15543119854,119.45645890104697,131.5281216582975
ARIMA,1299,21577.507340421354,277453.1020887396,82717.95712129686,123.72651799350163,134.53447098131159
Share x Demand,1299,11607.171387689961,184631.8617836763,174213.18565509017,125.91820214032609,142.02338204292616
