year,product_sector,value,global_demand_index,demand_growth_rate_pct,demand_3yr_ma,value_std,global_demand_index_std,demand_growth_rate_pct_std,demand_3yr_ma_std,value_minmax,global_demand_index_minmax,demand_growth_rate_pct_minmax,demand_3yr_ma_minmax,value_robust,global_demand_index_robust,demand_growth_rate_pct_robust,demand_3yr_ma_robust
2015,Agricultural Products,11007.890104,0.0637251945344016,,11007.890104,-0.21448659681930202,-0.22334133518127972,-0.04417860417700942,-0.21392515837150147,0.05252515029366024,0.06361803115892986,0.44700745750707577,0.05540080344880604,0.5280159766860987,0.5190014854567192,0.0,0.506549900744167
2016,Agricultural Products,9971.365942,0.0646525704601222,-9.41619285991374,10489.628023,-0.23968701658572375,-0.21943402567444306,-0.45335237199290684,-0.22679112280368627,0.047569104966404305,0.06454551322948524,0.39009618798466245,0.05278633950821206,0.44869263460471076,0.5309535710548643,-0.46706516516809066,0.46920545619440973
2017,Agricultural Products,10176.748441000002,0.0626261442523077,2.059722812247,10385.334829,-0.23469366922613105,-0.22797195960942654,-0.02325988192724457,-0.22938022313287462,0.048551122570803476,0.06251885508263819,0.4499170062945644,0.05226021420412605,0.4644101902806656,0.5048368487824978,0.023878379385962743,0.46169039471675927
2018,Agricultural Products,8674.170198,0.0492139158722941,-14.764816598457188,9607.428193666668,-0.2712249955991023,-0.28448165109874496,-0.6538072174145212,-0.2486919178693436,0.04136668234927722,0.04910509157676474,0.3622152712881744,0.048335927782662415,0.34942056211458333,0.3319791141640003,-0.6958810933869203,0.4056367255923655
2019,Agricultural Products,9145.108,0.057192533756755,5.429197159499877,9332.008879666668,-0.2597753538740346,-0.2508653703147171,0.10302072640259183,-0.2555292598778953,0.04361842830812375,0.05708462267134205,0.4674811570329549,0.04694652676068,0.3854605906412922,0.43480809782116214,0.16802562885880745,0.38579081813226485
2020,Agricultural Products,9326.06,0.0811257973803063,1.9786753748561647,9048.446066,-0.2553759712790599,-0.15002744052560033,-0.026297364526164893,-0.26256876596694984,0.04448363371957041,0.0810206256287951,0.4494945281093681,0.04551604442673346,0.39930852388060556,0.7432616683075736,0.020411142668094143,0.36535811398590845
2021,Agricultural Products,10786.671263,0.0708718163166492,15.66161125920269,9752.613087666668,-0.21986496411436302,-0.1932305004517234,0.48650946797640954,-0.24508767254487326,0.051467412670715154,0.07076547092336488,0.5208199408142712,0.049068338437421394,0.5110864940528794,0.6111076453320908,0.605771756572128,0.4160983229621437
2022,Agricultural Products,12834.879324,0.0613621684403775,18.988323747527925,10982.536862333334,-0.17006805170416422,-0.2332974641533675,0.6111874543533292,-0.21455455789248226,0.06126073188324596,0.061254734599598896,0.5381611856454922,0.05527290457573633,0.6678321972722505,0.4885466403792162,0.748089639291731,0.5047230205569255
2023,Agricultural Products,11793.402072,0.0599276505991036,-8.114429639026977,11804.984219666669,-0.19538889311796945,-0.23934151278939506,-0.4045651029730336,-0.19413713042725542,0.05628100380989503,0.05982005256745587,0.3968819245954751,0.059421884479177914,0.5881298040632248,0.47005847440957493,-0.4113752953494571,0.5639861633895362
2024,Agricultural Products,11924.018211,0.0631555380765238,1.1075357068518032,12184.099868999998,-0.19221329755373476,-0.22574146659699157,-0.058945794482467055,-0.1847255052306066,0.05690553291311063,0.0630483094997794,0.4449535146259163,0.061334399847048054,0.5981256237991154,0.5116597133045024,-0.01685650626115046,0.5913041244434412
