year,hhi,shannon_entropy,shannon_entropy_norm,hhi_std,shannon_entropy_std,shannon_entropy_norm_std,hhi_minmax,shannon_entropy_minmax,shannon_entropy_norm_minmax,hhi_robust,shannon_entropy_robust,shannon_entropy_norm_robust
2015,0.2757910220232641,1.8119360779228837,0.6268868608243495,-0.3754541700692546,0.43435838970313567,0.43435838970313545,0.0,1.0,1.0,-1.6380480304097882,1.124702312099824,1.1247023120998212
2016,0.278156545488718,1.806676837496627,0.6250672885108959,-0.36390542236892276,0.4239569184546068,0.4239569184546073,0.003266354791765458,0.9970974470400271,0.9970974470400273,-1.3893449024388573,1.0402176532637073,1.0402176532637106
2017,0.2791585865318872,1.7927644389669486,0.620253928951984,-0.3590133469522378,0.3964416497891794,0.3964416497891798,0.004649990004309601,0.9894192520423167,0.989419252042317,-1.28399369986957,0.816728299648323,0.8167282996483247
2018,0.2916950862542443,1.7337545577048512,0.599837911150506,-0.29780876604100914,0.27973476180161266,0.27973476180161333,0.02196060075837819,0.9568519435257031,0.9568519435257034,0.034051434871329604,-0.13120890845086663,-0.131208908450863
2019,0.2879311313263753,1.7648229616543092,0.61058684123695,-0.31618481111187835,0.34118034789891627,0.341180347898917,0.016763268161943734,0.9739984666994529,0.9739984666994532,-0.36167804225013167,0.36787523593400995,0.3678752359340141
2020,0.2913712082681583,1.7758792093488505,0.6144120404226038,-0.2993899742605102,0.36304685963647537,0.36304685963647604,0.021513384559828985,0.9801003639072262,0.9801003639072264,0.0,0.5454832627162697,0.5454832627162732
2021,0.2934581320860743,1.7331835630887176,0.5996403605708708,-0.28920138091324427,0.2786054762771997,0.2786054762772004,0.024395044248371245,0.9565368139672762,0.9565368139672765,0.21941210431119273,-0.14038138991805182,-0.14038138991804852
2022,0.3023131332714698,1.6435528979887315,0.5686302786133768,-0.24597028383484343,0.10133828359104745,0.10133828359104813,0.03662217958454761,0.9070700219584024,0.9070700219584026,1.1503969476898692,-1.5802121541518992,-1.5802121541518972
2023,0.2922472202481632,1.710958418327806,0.5919509881916274,-0.2951131866964506,0.23464966032497866,0.23464966032497878,0.022722996711354915,0.9442708488310284,0.9442708488310285,0.09210093357726039,-0.49740704771735195,-0.4974070477173535
2024,0.287523897173771,1.741922421611935,0.6026637981267297,-0.31817297337366474,0.2958887678377845,0.2958887678377847,0.01620095235947744,0.9613597537109537,0.9613597537109538,-0.40449326224197696,0.0,0.0
2025,1.0,-0.0,-0.0,3.1602143156220164,-3.149201115314938,-3.149201115314938,1.0,0.0,0.0,74.50283188805955,-27.98231485561046,-27.98231485561049
