year,hhi,shannon_entropy,shannon_entropy_norm
2015,0.2757910220232641,1.8119360779228835,0.6268868608243495
2016,0.278156545488718,1.806676837496627,0.6250672885108959
2017,0.2791585865318872,1.7927644389669486,0.620253928951984
2018,0.29169508625424434,1.7337545577048512,0.599837911150506
2019,0.2879311313263753,1.7648229616543092,0.61058684123695
2020,0.2913712082681583,1.7758792093488505,0.6144120404226038
2021,0.2934581320860743,1.7331835630887176,0.5996403605708708
2022,0.3023131332714698,1.6435528979887317,0.5686302786133768
2023,0.2922472202481632,1.710958418327806,0.5919509881916274
2024,0.287523897173771,1.7419224216119347,0.6026637981267297
2025,1.0,-0.0,-0.0
