label_year,feature_year,Exporter_ISO3,Product,Market_Share_T,Export_Growth_Rate_T,opp_score_T,class_T,Global_Demand_T,Untapped_Potential_T,pred_label,prob_Low,prob_Medium,prob_High
2023,2022,DZA,690100,0.0,-98.7571,0.32748207,Low,257540.56,257540.47,High,0.039936952,0.11840608,0.8416569
2023,2022,DZA,841360,0.0002,-76.8167,0.46191233,Medium,7685753.5,7685742.0,High,4.0706887e-05,0.16066618,0.8392931
2023,2022,DZA,620719,0.0,22.2222,0.5078572,High,132716.83,132716.81,High,0.04857506,0.11243804,0.8389869
2023,2022,DZA,760692,0.0,-97.8785,0.43609005,Medium,3185263.2,3185262.8,High,0.00037572006,0.16093113,0.83869314
2023,2022,DZA,640359,1e-04,-49.8115,0.48675334,Medium,4058882.0,4058877.8,High,0.00029831243,0.16328388,0.8364178
2023,2022,DZA,830710,0.0,-90.93,0.43986532,Medium,2361276.5,2361276.2,High,0.000108301836,0.1640224,0.8358693
2023,2022,DZA,610342,0.0,20.5154,0.6534196,High,6590198.0,6590195.5,High,5.3960695e-05,0.16476732,0.83517873
2023,2022,DZA,392099,0.0,2285.2112,0.7817887,High,7758606.5,7758603.0,High,2.9847804e-05,0.16593397,0.8340362
2023,2022,DZA,903210,1e-04,24.1561,0.621382,High,5039657.5,5039653.5,High,9.364701e-05,0.16753961,0.83236676
2023,2022,DZA,854590,0.0,-91.8908,0.39346084,Medium,886373.6,886373.44,High,0.00092355045,0.16671021,0.8323663
2023,2022,DZA,390421,0.0,-27.9661,0.50002587,High,1424028.5,1424028.5,High,0.00047030463,0.16806439,0.8314653
2023,2022,DZA,630231,0.0,295.1613,0.7316663,High,4622799.5,4622798.5,High,3.806735e-05,0.16872919,0.8312327
2023,2022,DZA,611011,0.0,109.4,0.70064914,High,4462242.0,4462241.0,High,3.7676346e-05,0.16951874,0.83044356
2023,2022,DZA,190510,0.0023,47.3541,0.62994003,High,469923.4,469912.6,High,0.00012156192,0.16948648,0.83039194
2023,2022,DZA,842839,0.0004,-97.249,0.4113116,Medium,6669105.5,6669080.5,High,5.9261463e-05,0.17229903,0.8276417
2023,2022,DZA,90411,0.0,-89.6601,0.43019503,Medium,1817864.2,1817864.0,High,7.476454e-05,0.17259309,0.8273322
2023,2022,DZA,830629,0.0,109.1093,0.680154,High,2633779.5,2633778.5,High,3.406023e-05,0.17455302,0.8254129
2023,2022,DZA,420229,1e-04,-91.5612,0.3609206,Low,786828.4,786827.6,High,0.00078024756,0.17474808,0.82447165
2023,2022,DZA,761090,0.0008,4.5436,0.5676663,High,11437683.0,11437591.0,High,0.00012044969,0.17566535,0.82421416
2023,2022,DZA,401693,0.0007,-64.5769,0.46456847,Medium,14461160.0,14461057.0,High,4.3326465e-05,0.17671818,0.82323855
2023,2022,DZA,420232,0.0,8600.0,0.76002014,High,4047925.0,4047924.8,High,5.100363e-05,0.1767437,0.82320535
2023,2022,DZA,780200,0.0,-99.9937,0.356394,Low,716191.9,716191.8,High,0.0020460624,0.17551747,0.8224365
2023,2022,DZA,480269,0.0,-3.1746,0.49006724,Medium,393738.4,393738.34,High,0.017910859,0.16029735,0.82179177
2023,2022,DZA,846620,0.0,-96.8006,0.41447198,Medium,1750588.6,1750587.9,High,0.00014542723,0.17815524,0.82169926
2023,2022,DZA,851711,0.0,-94.8132,0.41402838,Medium,1572975.5,1572975.1,High,0.00033777225,0.17842536,0.8212369
2023,2022,DZA,320290,0.0,-93.2821,0.35024455,Low,328838.6,328838.56,High,0.018886575,0.161036,0.8200774
2023,2022,DZA,841911,0.0,-98.0905,0.41512495,Medium,1943163.0,1943162.4,High,0.0002883225,0.17977187,0.8199398
2023,2022,DZA,847982,1e-04,1429.5238,0.74787176,High,6325704.5,6325701.5,High,4.267452e-05,0.18122004,0.8187373
2023,2022,DZA,151529,0.0044,-42.6538,0.482152,Medium,591691.7,591665.7,High,0.00019513017,0.1818148,0.81799
2023,2022,DZA,210230,0.0009,-92.565,0.42247748,Medium,260599.47,260596.98,High,8.6314845e-05,0.18443179,0.8154819
2023,2022,DZA,711719,0.0002,1.6276,0.57174337,High,5623144.0,5623131.5,High,0.00016367307,0.18557623,0.8142601
2023,2022,DZA,340600,0.0,-51.4806,0.52077115,High,5131284.5,5131282.5,High,4.6469566e-05,0.18616323,0.81379026
2023,2022,DZA,848180,0.0014,-46.884,0.48324007,Medium,60773356.0,60772476.0,High,3.3323773e-05,0.18649946,0.8134672
2023,2022,DZA,300610,0.0002,-81.0858,0.44358042,Medium,5152910.0,5152902.0,High,0.00010075246,0.1871215,0.81277776
2023,2022,DZA,846229,1e-04,-97.4119,0.37074164,Medium,1269084.2,1269083.0,High,0.00028721153,0.18969497,0.81001776
2023,2022,DZA,940550,0.0,12.9707,0.57720757,High,1363587.8,1363587.5,High,0.00040229017,0.19056234,0.80903536
2023,2022,DZA,330130,0.0,-87.037,0.32923785,Low,82184.21,82184.195,High,0.034358975,0.15734155,0.8082995
2023,2022,DZA,40900,0.0,-46.4149,0.50373816,High,2752075.8,2752074.8,High,5.0295937e-05,0.19187504,0.8080747
2023,2022,DZA,610821,0.0,204.6296,0.7091998,High,3408364.0,3408363.8,High,3.9449707e-05,0.19336003,0.8066005
2023,2022,DZA,732189,0.0,2875.0,0.7402106,High,2442127.8,2442127.8,High,0.000107856984,0.19365217,0.80624
2023,2022,DZA,170113,1e-04,-72.492,0.43465963,Medium,2177093.8,2177092.8,High,0.00017094893,0.19362001,0.8062091
2023,2022,DZA,870891,0.0002,-89.2819,0.44410047,Medium,7595949.0,7595937.5,High,3.9522674e-05,0.19442336,0.8055371
2023,2022,DZA,570291,0.0,66.6667,0.54599226,High,114153.055,114153.05,High,0.04565677,0.14916448,0.8051787
2023,2022,DZA,560750,0.0,-97.825,0.38949892,Medium,1093558.9,1093558.5,High,0.00018368853,0.19521238,0.804604
2023,2022,DZA,853810,0.0002,-80.6544,0.44182992,Medium,4795095.5,4795088.0,High,5.5867997e-05,0.19610977,0.8038344
2023,2022,DZA,620590,0.0,-90.1863,0.41392258,Medium,1267323.4,1267323.0,High,0.00012585976,0.19633882,0.8035353
2023,2022,DZA,392620,0.0002,-20.9529,0.5222248,High,5014028.5,5014020.0,High,0.000106257416,0.1963851,0.80350864
2023,2022,DZA,320810,0.0,-93.0435,0.44619223,Medium,3053626.8,3053626.0,High,5.781532e-05,0.19663331,0.8033089
2023,2022,DZA,848350,1e-04,-20.3146,0.5458294,High,6540323.0,6540317.0,High,6.945275e-05,0.19834709,0.80158347
2023,2022,DZA,620459,0.0,-72.0698,0.42558685,Medium,977826.25,977826.0,High,0.0002422353,0.19888553,0.8008722
2023,2022,DZA,843149,0.0016,115.0624,0.65752745,High,32486082.0,32485556.0,High,0.00014989104,0.20118707,0.7986631
2023,2022,DZA,441520,1e-04,106.0078,0.6755915,High,4928981.0,4928976.0,High,8.299173e-05,0.20139578,0.7985213
2023,2022,DZA,120890,0.0,-28.7671,0.42705524,Medium,246379.69,246379.64,High,0.038448256,0.16327,0.7982817
2023,2022,DZA,320910,0.0002,-34.8844,0.49529055,Medium,4291975.5,4291967.0,High,8.647001e-05,0.20203933,0.7978742
2023,2022,DZA,630533,0.0,-66.078,0.46748972,Medium,2050318.2,2050317.5,High,0.000108350425,0.20251001,0.79738164
2023,2022,DZA,841480,0.0008,-75.4992,0.45472297,Medium,23530330.0,23530150.0,High,7.69755e-05,0.20323831,0.7966847
2023,2022,DZA,401699,0.0009,114.036,0.66227,High,15744468.0,15744332.0,High,6.4217595e-05,0.20392041,0.7960154
