Year,Product,Global_Demand,Untapped_Potential,Algeria_Exports,Algeria_Market_Share,Market_Share,Export_Growth_Rate,cluster,Opportunity_Label
2024,810490,12.548734962582708,12.548734962582708,0.0,0.0,0.0,0.0,2,Low Priority
2024,841121,14.339806921931794,14.339806921931794,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,850660,12.6504771964696,12.6504771964696,0.0,0.0,0.0,0.0,2,Low Priority
2024,901110,13.517111725627615,13.517111725627615,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,740312,11.058814885474128,11.058814885474128,0.0,0.0,0.0,0.0,2,Low Priority
2024,722691,13.615397910097927,13.615397910097927,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,741122,12.655738038504348,12.655738038504348,0.0,0.0,0.0,0.0,2,Low Priority
2024,790390,12.193148188394746,12.193148188394746,0.0,0.0,0.0,0.0,2,Low Priority
2024,710691,17.001480210237112,17.001480210237112,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,901190,13.787487802598461,13.787487802598461,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,530890,11.311720542389732,11.311720542389732,0.0,0.0,0.0,0.0,2,Low Priority
2024,730531,14.293751869148599,14.293751869148599,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,290250,15.935659486117114,15.935659486117114,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,290941,13.755602053736919,13.755602053736919,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,291736,15.898364626221298,15.898364626221298,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,310510,13.49938754785412,13.49938754785412,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,360100,14.061918521988957,14.061918521988957,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,380110,14.669497701696518,14.669497701696518,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,380120,11.443542331626736,11.443542331626736,0.0,0.0,0.0,0.0,2,Low Priority
2024,382460,12.760502001434292,12.760502001434292,0.0,0.0,0.0,0.0,2,Low Priority
2024,500200,12.818222440564998,12.818222440564998,0.0,0.0,0.0,0.0,2,Low Priority
2024,500300,11.691192103349994,11.691192103349994,0.0,0.0,0.0,0.0,2,Low Priority
2024,500710,9.482388976097969,9.482388976097969,0.0,0.0,0.0,0.0,2,Low Priority
2024,520511,13.679889539019188,13.679889539019188,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,520522,13.842506379545945,13.842506379545945,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,520523,14.536570516422326,14.536570516422326,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,520544,12.030734529651545,12.030734529651545,0.0,0.0,0.0,0.0,2,Low Priority
2024,600122,12.894303131431883,12.894303131431883,0.0,0.0,0.0,0.0,2,Low Priority
2024,740311,18.279465407932157,18.279465407932157,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,843031,14.249926660982803,14.249926660982803,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,843340,13.941441307997277,13.941441307997277,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,845630,13.609858285916626,13.609858285916626,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,846310,13.06555515212356,13.06555515212356,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,400219,15.700269065638446,15.700269065638446,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,551321,12.856441559942692,12.856441559942692,0.0,0.0,0.0,0.0,2,Low Priority
2024,340212,13.405337141145964,13.405337141145964,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,741021,14.911975790021724,14.911975790021724,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,903141,15.920959251629345,15.920959251629345,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,930630,15.152104641749862,15.152104641749862,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,20450,12.994801553113069,12.994801553113069,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,20641,10.85762532373631,10.85762532373631,0.0,0.0,0.0,0.0,2,Low Priority
2024,320110,11.09911668504077,11.09911668504077,0.0,0.0,0.0,0.0,2,Low Priority
2024,252800,13.068079911643787,13.068079911643787,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,281000,13.456619302678119,13.456619302678119,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,284020,12.127169017192708,12.127169017192708,0.0,0.0,0.0,0.0,2,Low Priority
2024,285000,13.487252832869808,13.487252832869808,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,291739,14.885776195818373,14.885776195818373,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,330113,13.159184099419933,13.159184099419933,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,730511,15.39258166088597,15.39258166088597,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,20810,11.84368870768191,11.84368870768191,0.0,0.0,0.0,0.0,2,Low Priority
2024,30221,12.511352327777603,12.511352327777603,0.0,0.0,0.0,0.0,2,Low Priority
2024,30495,12.49721205574609,12.49721205574609,0.0,0.0,0.0,0.0,2,Low Priority
2024,30541,14.615205744486264,14.615205744486264,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,40811,12.34460792716893,12.34460792716893,0.0,0.0,0.0,0.0,2,Low Priority
2024,40891,12.834890272450652,12.834890272450652,0.0,0.0,0.0,0.0,2,Low Priority
2024,71090,13.907944903792009,13.907944903792009,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,283691,15.158723829155429,15.158723829155429,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,320210,12.641201987215007,12.641201987215007,0.0,0.0,0.0,0.0,2,Low Priority
2024,411330,12.179859636973392,12.179859636973392,0.0,0.0,0.0,0.0,2,Low Priority
2024,510521,9.626843799721101,9.626843799721101,0.0,0.0,0.0,0.0,2,Low Priority
2024,510529,13.772040135494423,13.772040135494423,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,551120,11.312446715529706,11.312446715529706,0.0,0.0,0.0,0.0,2,Low Priority
2024,600310,9.573878986941104,9.573878986941104,0.0,0.0,0.0,0.0,2,Low Priority
2024,911012,11.796538301801522,11.796538301801522,0.0,0.0,0.0,0.0,2,Low Priority
2024,930330,13.5405131578128,13.5405131578128,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,100830,11.81974649600941,11.81974649600941,0.0,0.0,0.0,0.0,2,Low Priority
2024,300320,13.539313260945443,13.539313260945443,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,390599,14.242357566574984,14.242357566574984,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,20430,12.012815445962651,12.012815445962651,0.0,0.0,0.0,0.0,2,Low Priority
2024,30325,11.036599862094821,11.036599862094821,0.0,0.0,0.0,0.0,2,Low Priority
2024,120510,16.34939651212881,16.34939651212881,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,150810,13.337727347698207,13.337727347698207,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,151419,15.398663815065218,15.398663815065218,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,290211,13.577275314030691,13.577275314030691,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,291612,14.992536113642084,14.992536113642084,0.0,0.0,0.0,0.0,0,Niche / Emerging
