country_code,NE.IMP.GNFS.ZS_std,NY.GDP.MKTP.CD_std,NY.GDP.MKTP.KD.ZG_std,NY.GDP.PCAP.CD_std,SP.POP.TOTL_std,TG.VAL.TOTL.GD.ZS_std,country_cluster
ABW,0.9196853655980136,-0.189227786211843,0.7292187281695937,0.2029575793832821,-0.1719427713282547,5.2054776795003,0
ABW,0.8709791342572144,-0.1892180278278408,0.1340582670588894,0.2053299831891694,-0.1719408768812147,4.714511717152201,0
ABW,0.8435513124122377,-0.1891902911533935,-0.7527283593166756,0.2280915713790643,-0.1719394632808969,2.866225165680848,0
ABW,0.8961794016673069,-0.1891553934014831,-0.3972049156229259,0.253868237263622,-0.1719371169269836,3.8377172801660224,0
ABW,0.8095961511132008,-0.1890660074287148,0.6722797517951435,0.3241517195257031,-0.1719326423810959,6.176296239070666,0
ABW,1.156636968172383,-0.1890213877878028,-0.6555535771813825,0.3430638709967644,-0.1719270837039409,7.604016266143958,0
ABW,1.1367968544626512,-0.188974825854519,-0.3942806104242505,0.3701081672136835,-0.171923143432189,7.937103161649524,0
ABW,1.07886281296472,-0.1888866532220318,-0.0548992046206529,0.445990759865767,-0.1719214849562257,8.028858184585493,0
ABW,1.0287378943358576,-0.188816498455737,-0.271761549251566,0.5036095989410719,-0.1719197775051332,8.464287764949761,0
ABW,1.0685742008795331,-0.1889391889603553,-2.609130952233142,0.381711911663733,-0.1719182481454193,2.708592997107821,0
ABW,1.0915023264319772,-0.1889816916542498,-1.0620778237060446,0.339905312018027,-0.1719177272281369,0.0994924182619652,0
ABW,1.447236293520956,-0.1889035286051198,-0.0065219848929352,0.4048948205612037,-0.1719160509430357,8.896426432932019,0
ABW,1.404085249122773,-0.1889131369804506,-0.7693064854561937,0.3811056343037319,-0.1719126694329842,1.6874256344434342,0
ABW,1.3518504635878004,-0.1888653553084117,0.5231372176354623,0.4089560379222686,-0.17190918552039,-0.0726217062294762,0
ABW,1.3096823205784256,-0.1888386307777808,-0.3426180174109744,0.421649662442252,-0.1719066655273826,-0.1487263208822317,0
ABW,0.9002566555767051,-0.1887656450421508,0.035377669689468,0.4749651765366529,-0.1719042189970689,-0.2565288414130932,0
ABW,0.8154456746172295,-0.1887568511688797,-0.3757864572795906,0.4742961167400626,-0.1719023913342958,-0.3977031948231598,0
ABW,0.8591226876688025,-0.1887107027666097,0.0149590687326885,0.5143712778214388,-0.171902373525158,-0.5708079185734168,0
